skelbimo_pavadinimas;Namo numeris:;Plotas:;Kaina mėn.:;Kambarių sk.:;Aukštas:;Aukštų sk.:;Metai:;Pastato tipas:;Šildymas:;Įrengimas:;Ypatybės:;Papildomos patalpos:;Papildoma įranga:;Apsauga:;Nuoroda;Įdėtas;Redaguotas;Aktyvus iki;Įsiminė;Peržiūrėjo;kaina_eur;coordinate_x;coordinate_y;Skelbimą peržiūrėjo (iš viso/šiandien);Skelbimo tekstas;error_get_energy_consumption_class;error_get_air_polution_data;url_crawl;Pastato energijos suvartojimo klasė:;Buto numeris:;Azoto dioksidas (NO2);Kietosios dalelės (KD10);energijos_suvartojimo_klase;error_get_perziuru_sk;error_get_coordinates;scrape_date
Vilnius, Šeškinė, Šeškinės g., kambario nuoma;28A;12 m²;250 €;1;2;2;1980;Mūrinis;Centrinis;Įrengtas;Tualetas ir vonia atskirai, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas;Vieta automobiliui;Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina, Rekuperacinė sistema;Signalizacija, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1187912;2022-10-21;2022-10-26;2022-12-05;16;3611/16 (iš viso/šiandien);250;54.715951;25.243975;3611/16;"Nuomuojami kambariai DARBUOTOJAMS, UŽSIENIEČIAMS IR STUDENTAMS.
Kambario kaina 250eur/mėn + komunalaiKambaryje yra nauji visi reikalingi baldai gyvenimui. Patalpos naujai suremontuotos. Beveik visuose kambariuose yra atskiri dušai. Tualetai ir virtuvė bendro naudojimo. Yra kambarių su kondicionieriais.Del apgyvendinimo: +37066649089";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-seskines-g-nuomuojami-kambariai-darbuotojams-4-1187912/;A++;;14 µg/m3;20.4 µg/m3;;;;2022_11_13
Vilnius, Šnipiškės, Rinktinės g., 3 kambarių buto nuoma;23;61,21 m²;790 €;3;4;5;1976;Blokinis;Centrinis;Įrengtas;Tualetas ir vonia atskirai, Nauja elektros instaliacija, Internetas, Kabelinė televizija;Sandėliukas, Balkonas, Rūsys;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1171551;2022-08-29;2022-10-21;2022-12-05;2;717/3 (iš viso/šiandien);790;54.696927;25.292774;717/3;"Namas yra miesto centre itin patogioje vietoje, 400 m atstumu yra prekybos centrai, mokymo įstaigos. Vos už 1,6 km Vilniaus Senamiestis, Vilniaus Katedra, Vinco Kudirkos aikštė - viskas pasiekiama pėstute, šalia vaikų darželis. Rami vieta. Langai į rytus ir vakarus. Butui priklauso tvarkingas apie 9 kv.m rūsys su šarvo durimis, tinka laikyti nesezoniniams daiktams, dviračiams ir pan. Įstiklintas balkonas.IŠPLANAVIMAS:
- Visi kambariai izoliuoti
- Erdvus koridorius
- Vonios kambarys ir tualetas atskirai
- Tamsus kambariukas
- Virtuvė
- Svetainė
- Miegamasis
- Miegamasis
- BalkonasPrie namo yra didelė automobilių stovėjimo aikštelė, vaikų žaidimų zona.
Butas nuomojamas su visa buitine technika ir baldais.
";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-rinktines-g-namas-yra-miesto-centre-itin-patogioje-4-1171551/;;;;;6 Klasė Bloga (6-8);;;2022_11_13
Vilnius, Pilaitė, Priegliaus g., 2 kambarių buto nuoma;5;50 m²;650 €;2;1;7;2015;Blokinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/4-1191522;2022-11-12;2022-11-12;2022-12-05;2;42/7 (iš viso/šiandien);650;54.711039;25.187182;42/7;"Išnuomojamas 2-jų kambarių butas, plotas – 50 kv. m., šalia PC PUPA, Priegliaus g. 5.Namas:
- Namas blokinis, 2014 m. statybos
- Apsauga: rakinama namo laiptinė ( domofonas)
Ypatumai:
Kokybiškas Eikos statybos namas.
Viena pigiausių šildymo kainų Vilniuje.
Butas gerai įrengtas, yra visi reikiami baldai ir buitinė technika bei džiovyklė.Išplanavimas:
Bendras buto plotas – 50 kv. m.
Salonas su atviro tipo virtuve, erdvus miegamasis.
Prieškambaryje įrengtos dvi talpios sieninės spintos, salone didelė spinta.
Yra terasa, kur smagu leisti laiką vakarais gurkšnojant arbatą, kuri išeina į vidinį namo kiemą.
Vidiniame namo kieme - jauki vaikų žaidimų aikštelė.Netoliese mokykla, vos per kelias minutes pėsčiomis pasiekiami visi pagrindiniai prekybos centrai, visuomeninio transporto stotelė, sporto klubas.
Patogus ir greitas susisiekimas su miesto centru bei kitais rajonais vakariniu aplinkkeliu.
PRIVALUMAI:
- Butas po kosmetinio remonto.
- Patogus išplanavimas
- Jauki terasa.
- Kokybiškos statybos namas, kokybiškai įrengtas
- Parkingas
- Strategiškai patogioje miesto vietoje, geras susisiekimas su kitais rajonais
- PIGUS buto išlaikymas";;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-priegliaus-g-isnuomojamas-2-ju-kambariu-butas-plotas-50-4-1191522/;;3;;;2 Klasė Gera (1-3);;;2022_11_13
Vilnius, Fabijoniškės, Gedvydžių g., 3 kambarių buto nuoma;31;63 m²;650 €;3;8;9;1999;Blokinis;Centrinis;Įrengtas;Kabelinė televizija, Internetas, Tualetas ir vonia atskirai, Nauja kanalizacija;Sandėliukas, Balkonas, Drabužinė, Rūsys;Su baldais, Plastikiniai vamzdžiai, Skalbimo mašina, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1163126;2022-08-01;2022-11-05;;2;846/3 (iš viso/šiandien);650;54.738158;25.240148;846/3;3 kambarių nuoma;;'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-gedvydziu-g-3-kambariu-nuoma-4-1163126/;;;;;4 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Verkiai, Jurgio Lebedžio g., 1 kambario buto nuoma;9;31,2 m²;580 €;1;3;5;2019;Mūrinis;Centrinis;Įrengtas;;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Viryklė, Indaplovė, Dušo kabina;Šarvuotos durys, Signalizacija;www.aruodas.lt/4-1183610;2022-10-06;2022-10-18;2022-12-05;20;1382/4 (iš viso/šiandien);580;54.720352;25.279619;1382/4;"Naujai įrengtas, modernus, jaunatviškas butas.Geras susisiekimas. Šalia Ozo parko su vandens telkiniais, sporto aikštelėmis.
Tik ilgalaikei nuomai (be tarpininkų).";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-verkiuose-jurgio-lebedzio-g-naujai-irengtas-modernus-jaunatviskas-butas-4-1183610/;;;;;;;;2022_11_13
Vilnius, Žirmūnai, Žygio g., 1 kambario buto nuoma;1;25 m²;450 €;1;4;9;1969;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/4-1107117;2022-11-05;2022-11-08;2022-12-05;18;767/32 (iš viso/šiandien);450;54.704237;25.289988;767/32;"NUOMOJAMAS ŠILTAS IR JAUKUS BUTAS ŽIRMŪNUOSE Žygio g. 1PAPILDOMA INFORMACIJA NUOMININKAMS:• Butas LAISVAS jau DABAR, tad galima jį apžiūrėti ir išsinuomoti Jums patogiu metu
• Nuomojama tiesiai iš savininko
• Saugus butas : pakeista visa santechnika ir elektros instaliacija, yra buto draudimas.• Nuomos sąlygos: iškart mokamas užstatas 600 Eur + nuomos mokestis už 1 mėn.• Mažos šildymo ir komunalinės išlaidos (yra bendrija)
•Strategiškai labai patogi vieta";;;https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zygio-g-nuomojamas-siltas-ir-jaukus-butas-zirmunuose-4-1107117/;;;16.4 µg/m3;25.7 µg/m3;5 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Karoliniškės, Algimanto Petro Kavoliuko g., 2 kambarių buto nuoma;2A;62,15 m²;600 €;2;4;9;2008;Mūrinis;Centrinis kolektorinis;Įrengtas;;Vieta automobiliui;;;www.aruodas.lt/4-1173279;2022-08-26;2022-11-12;2022-12-05;7;751/8 (iš viso/šiandien);600;54.698676;25.212526;751/8;Nuomojamas butas karoliniškėseNuomojamas jaukus, tvarkingas ir labai šiltas butas karoliniškėse, buto plotas 53kv + 9kv įstiklinta lodžija, butui priklauso 2 antžeminės parkavimo vietos. Bute yra visa reikalinga buitinė technika, smart tv, namų kino sistema, skalbimo mašina, internetas. Name yra 3 privatūs vaikų darželiai,sporto klubas, šalia prekybos centras. Maži komunaliniai mokesčiai. Be tarpininkų. Kaina 600eur + depozitas. Butas laisvas.;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-algimanto-petro-kavoliuko-g-nuomojamas-butas-karoliniskese-nuomojamas-4-1173279/;;;;;;;;2022_11_13
Vilnius, Naujamiestis, Raugyklos g., 2 kambarių buto nuoma;21;39 m²;830 €;2;3;3;2019;Mūrinis;Centrinis kolektorinis;Įrengtas;Uždaras kiemas;Balkonas, Terasa;Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1092243;2022-07-06;2022-11-11;2022-12-05;38;3521/3 (iš viso/šiandien);830;54.673532;25.279628;3521/3;"A brand new apartment in Vilnius old town is looking for a young professional.Bukite pirmi naujo šviesaus buto gyventojai. Architektės Mid Century stiliumi irengtas jaukus butas ieško tvarkingos, solidžios nuomininkės (-o).
Talpi drabužinė, erdvus vonios kambarys, amerikietiško riešutmedžio parketlentės, šildomos grindys, oro rekuperacinė sistema, oro kondicionierius, ypač didelis balkonas, skalbimo mašina, indaplovė, liftas, TV, internetas.„Senamiesčio 21“ – išskirtinai gyventojų poreikiams pritaikyta gyvenamoji erdvė, nuo kurios vos kelių minučių atstumu išsidėstę gausybė restoranų, kavinių, parduotuvių, senamiesčio kultūros bei meno institucijų. Greičiau nei per 10 min. pasieksite Rotušės aikštę, taip pat autobusų bei geležinkelio stotis.
Erdvus, net 10 kv.m. dydžio balkonas kiekvieną rytinį kavos puodelį ar šeimyninę vakarienę pavers ypatingo pasimėgavimo akimirkomis.
Jaukus uždaras vidinis kiemelis leis jums jaustis saugiai bei suteiks galimybę pabėgti nuo miesto šurmulio.
Rekuperacinės vėdinimo bei kondicionavimo sistemos užtikrina optimalų vėdinimą, vėsinimą ir patalpų oro drėgnumą – tam, kad komfortabiliai jaustumėtės visais metų laikais, bet kokiu oru.Tik ilgalaikė nuoma. Be tarpininkų.";;;https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-raugyklos-g-a-brand-new-apartment-in-vilnius-old-town-is-4-1092243/;A;;14.8 µg/m3;23 µg/m3;5 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Senamiestis, Raugyklos g., 2 kambarių buto nuoma;21;39 m²;830 €;2;4;4;2019;Mūrinis;Centrinis kolektorinis;Įrengtas;Uždaras kiemas, Internetas;Balkonas;Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema;Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1103049;2022-10-21;2022-11-11;2022-12-05;20;1952/3 (iš viso/šiandien);830;54.673532;25.279628;1952/3;"A brand new apartment in Vilnius old town is looking for a young professional.Bukite pirmi naujo šviesaus buto gyventojai. Architektės Mid Century stiliumi irengtas jaukus butas ieško tvarkingos, solidžios nuomininkės (-o).
Talpi drabužinė, erdvus vonios kambarys, amerikietiško riešutmedžio parketlentės, šildomos grindys, oro rekuperacinė sistema, oro kondicionierius, ypač didelis balkonas, skalbimo mašina, indaplovė, liftas, TV, internetas.„Senamiesčio 21“ – išskirtinai gyventojų poreikiams pritaikyta gyvenamoji erdvė, nuo kurios vos kelių minučių atstumu išsidėstę gausybė restoranų, kavinių, parduotuvių, senamiesčio kultūros bei meno institucijų. Greičiau nei per 10 min. pasieksite Rotušės aikštę, taip pat autobusų bei geležinkelio stotis.
Erdvus, net 10 kv.m. dydžio balkonas kiekvieną rytinį kavos puodelį ar šeimyninę vakarienę pavers ypatingo pasimėgavimo akimirkomis.
Jaukus uždaras vidinis kiemelis leis jums jaustis saugiai bei suteiks galimybę pabėgti nuo miesto šurmulio.
Rekuperacinės vėdinimo bei kondicionavimo sistemos užtikrina optimalų vėdinimą, vėsinimą ir patalpų oro drėgnumą – tam, kad komfortabiliai jaustumėtės visais metų laikais, bet kokiu oru.Tik ilgalaikė nuoma. Be tarpininkų. Be gyvūnų.";;;https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-raugyklos-g-a-brand-new-apartment-in-vilnius-old-town-is-4-1103049/;A;;14.8 µg/m3;23 µg/m3;5 Klasė Vidutinė (4-5);;;2022_11_13
Vilnius, Šnipiškės, Giedraičių g., 3 kambarių buto nuoma;41;55 m²;890 €;3;6;9;2022;Mūrinis;Centrinis kolektorinis;Įrengtas;;;;;www.aruodas.lt/4-1191442;2022-11-05;2022-11-11;2022-12-05;8;368/6 (iš viso/šiandien);890;54.70333;25.280143;368/6;"Naujai ir kokybiškai įrengtas 3 kambarių butas miesto centre tik ilgalaikei nuomaiFunkcionalus buto išplanavimas, rami, saugi kaimynystė. Labai patogi lokacinė vieta: Vilniaus miesto centras, netoliese naujas miesto parkas, prekybos centrai, 3 viešojo transporto stotelės, 700m iki PC Europa, patogūs dviračių takai, mokyklos ir darželiai. Butas kampinis su dideliais langais ir erdviu balkonu 6 aukšte, matyti miesto panorama. Pastato A+ energetinės naudingumo klasės dėka nebus prarandama šiluma pastato viduje, tad leis turėti nedideles komunalines išlaidas.IŠPLANAVIMAS:
Virtuvė sujungta su svetaine 31 kv.m, yra didelė išskleidžiama sofa-lova, svetainės baldai, pietų stalas;
Miegamasis kambarys 10 kv.m su didele spinta drabužiams;
Trečiasis kambarys 9 kv.m tuščias, jog būtų lengvai pritaikomas jūsų poreikiams: darbui ar kitoms reikmėms;
Vonia 5 kv.m su dušu, skalbykle-džiovykle; Koridorius su itin erdve sienine spinta;
Yra požeminė parkavimo vieta.PRIVALUMAI:
• butas miesto centre
• naujai įrengtas šviesus, erdvus butas
• didelis balkonas
• langai į vidinę kiemo pusę
• minimalistinis interjeras
• visa galima buitinė technika (skalbyklė-džiovyklė, indaplovė, gartraukis, induk. kaitlentė, orkaitė, šaldytuvas
• šildymas centrinis kolektorinis (miesto tinklai)
• rakinama laiptinė
• požeminė parkavimo vieta
• patogus susisiekimas
• liftas
• nėra tarpininkavimo mokesčiųSĄLYGOS:
• tik ilgalaikė nuoma
• nuomininkų su gyvūnais nepriimame
• depozitas 1200 + nuoma už einamąjį mėnesį
• butas nuomojamas tik su parkavimo vieta
• parkavimo vietos nuomos kaina 60 eur";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-naujai-ir-kokybiskai-irengtas-3-kambariu-4-1191442/;;;;;;;;2022_11_13
Vilnius, Pilaitė, Papilėnų g., 4 kambarių buto nuoma;;88 m²;690 €;4;3;5;1992;Blokinis;Centrinis;Įrengtas;Tualetas ir vonia atskirai, Uždaras kiemas, Internetas, Kabelinė televizija;Sandėliukas, Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1173669;2022-09-04;2022-10-27;2022-12-05;3;1115/3 (iš viso/šiandien);690;54.704599;25.186511;1115/3;"PILAITĖS MIKRORAJONE BE TARPININKŲ NUOMOJAMAS TVARKINGAS KETURIŲ KAMBARIŲ BUTAS SU SANDĖLIUKU IR TRIMIS BALKONAISButas tvarkingas, jau paruoštas nuomai.Visi kambariai atskiri.Erdvus net 88 kv. m. butas nuomojamas su visais reikiamais baldais ir buitine technika: šaldytuvas, orkaitė, kaitlentė, skalbimo mašina, TV, internetas ir kt.Nesenai suremontuota virtuvė ir tualetas.
Bute yra sandėliukas ir trys balkonai, du įstiklinti.Labai gera lokacija, šalia Pilaitės prospektas, Vilniaus vakarinis aplinkkelis, miškelis ir Salotės ežeras.
Skambinkite ir suteiksiu daugiau informacijos.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-papilenu-g-pilaites-mikrorajone-be-tarpininku-nuomojamas-4-1173669/;;;;;;;;2022_11_13
Vilnius, Naujininkai, Sniego g., 2 kambarių buto nuoma;7;33 m²;450 €;2;2;3;1940 statyba, 2022 renovacija;Mūrinis;Centrinis kolektorinis;Įrengtas;Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Nauja elektros instaliacija, Internetas;;;;www.aruodas.lt/4-1187770;2022-10-21;2022-10-21;2022-12-05;63;2726/22 (iš viso/šiandien);450;54.669491;25.287548;2726/22;"Išnuomojamas ką tik įrengtas dviejų kambarių butas Naujamiestyje. Butas įrengtas šiais metais pilnai renovuotame name. Namas papildomai apšildytas, pakeista visa inžinerinė infrastruktūra, sutvarkyta aplinka.
Bute rasite viską ko reikia normaliam gyvenimui, nuo čiužinio su antklode, iki lėkščių bei įrankių. Butas yra tik 5-7 minutės pėsčiomis iki aušros vartų, Vilniaus senamiesčio, o taip pat 2-3 minutės nuo geležinkelių, autobusų stoties iš kur lengvai pasieksite oro uostą ar bet kurį Lietuvos kampelį.";'NoneType' object has no attribute 'text';;https://www.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-sniego-g-isnuomojamas-ka-tik-irengtas-dvieju-kambariu-4-1187770/;;12;15.3 µg/m3;25.6 µg/m3;;;;2022_11_13
Vilnius, Šnipiškės, Rinktinės g., 1 kambario buto nuoma;44A;29 m²;400 €;1;1;4;1963;Mūrinis;Centrinis;Įrengtas;Nauja kanalizacija, Renovuotas namas, , ,Допомога українцям, , Lankstesnės nuomos sąlygos ukrainiečiams (dėl nuomos laikotarpio, kainos ar kt.). Daugiau informacijos – skelbime nurodytais kontaktais. / Більш гнучкі умови оренди для українців (за рахунок терміну оренди, цін тощо). Більше інформації за контактами, вказаними в оголошенні.;Rūsys;Su baldais, Plastikiniai vamzdžiai, Skalbimo mašina, Šaldytuvas, Viryklė;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1183442;2022-10-05;2022-11-12;2022-12-04;14;946/4 (iš viso/šiandien);400;54.698483;25.28474;946/4;"1 k butas Rinktinės g. miesto centreCentre (Rinktinės 42A) išnuomojamas 1-o kambarių butas renovuotame name. Maži šildymo mokesčiai. Visai nėra gyvatuko mokesčio.
Galima išnuomoti ukrainiečiams su kompensavimo programa (Могу сдать украинцам с компенсационной программой - говорю на русском).
Langai - stiklo paketo, šarvuotos durys, centrinis šildymas. Butas yra mūrinio namo 1-ame aukšte. Nauja vonia, yra šaldytuvas, skalbyklė, dujinė viryklė.
Labai patogi vieta gyventi (Vilniaus miesto savivaldybė už 500 metrų) – miesto centras pėsčiomis pasiekiamas per kelias minutes.
Geras susisiekimas tiek viešuoju transportu, tiek automobiliu su visais Vilniaus miesto rajonais. Kursuoja greitieji autobusai - 1G, 4G ir 6G, autobusai - 10, 27,33 ir 37 ir troleibusai - 6 ir 10.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-rinktines-g-1-k-butas-rinktines-g-miesto-centre-centre-4-1183442/;;;;;;;;2022_11_13
Vilnius, Naujamiestis, Vytenio g., 2 kambarių buto nuoma;;42,9 m²;450 €;2;3;4;1959;Mūrinis;Centrinis;Įrengtas;;Balkonas;Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Kodinė laiptinės spyna;www.aruodas.lt/4-1191408;2022-11-04;2022-11-13;2022-12-04;3;730/20 (iš viso/šiandien);450;54.674718;25.265229;730/20;"Išnuomojamas 2 kambarių butas miesto centre - Vytenio g.Namo statybos metai - 1959
Namo tipas - mūrinis renovuotas
Bendras buto plotas - 42,90 kv.m
3/4 aukštas
Langai išeina į rytus.BUTO PRIVALUMAI:
• funkcionalus išplanavimas;
• ekonomiškas buto šildymas - namas renovuotas, reguliuojami radiatoriai;
• yra būtiniausi baldai ir buitinė technika. Savininkas pasirūpins trūkstamais baldais pagal poreikį.IŠPLANAVIMAS:
• atskira virtuvė;
• erdvi, 17,20 kv.m svetainė su balkonu;
• izoliuotas 12,68 kv.m miegamasis;
• vonia ir WC bendroje patalpoje.APLINKA IR KAIMYNYSTĖ:
• tvarkinga, rakinama laiptinė;
• geri kaimynai;
• sutvarkytas kiemo gerbūvis;
• aplink daugybė pramogų ir laisvalaikio praleidimo vietų, prekybos centrų. Šalia vaikų darželiai, netoliese mokyklos;
• puikus susisiekimas su centru, kitais mikrorajonais, oro uostu;
• iki viešojo transporto stotelės 250 m.Kviečiu apžiūrėti!";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-vytenio-g-isnuomojamas-2-kambariu-butas-miesto-centre-4-1191408/;;;;;;;;2022_11_13
Vilnius, Senamiestis, Pamėnkalnio g., 2 kambarių buto nuoma;18;69 m²;800 €;2;1;3;2000;Mūrinis;Dujinis;Įrengtas;Tualetas ir vonia atskirai, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais;Terasa;Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Vonia;Šarvuotos durys, Signalizacija;www.aruodas.lt/4-1191392;2022-11-04;2022-11-08;2022-12-04;12;438/7 (iš viso/šiandien);800;54.68525;25.27407;438/7;Išnuomojama su baldais, įrengta virtuve ir buitine technika, vonioje yra skalbimo mašinaButui priklauso didelė uždara terasa (~40m2)Parkavimas yra uždarame kieme arba nuoma požeminiame parkinge, butas nuomojamas be parkavimoAvansinis mokėjimas/ užstatas - 1.000 EURNuomos terminas - pageidautina ne trumpiau nei 6-12mėn., nuomos pradžia - nuo lapkričio mėn. vidurioNuomojama be tarpininku;'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pamenkalnio-g-isnuomojama-su-baldais-irengta-virtuve-ir-4-1191392/;;;;;;;;2022_11_13
Vilnius, Žvėrynas, Liepyno g., 1 kambario buto nuoma;;35 m²;450 €;1;3;5;1984;Mūrinis;Centrinis;Įrengtas;Internetas;Balkonas;Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia;Šarvuotos durys, Kodinė laiptinės spyna;www.aruodas.lt/4-1187642;2022-10-20;2022-11-07;;13;691/4 (iš viso/šiandien);450;;;691/4;"Nuomojamas pilnai įrengtas 1 kambario butas Žvėryne,Liepyno g. ( prie Bažnyčios).
Butas gražiai suremontuotas : plastikiniai langai, grindys- parketas bei laminatas, sienos dažytos, wc ir vonios kambarys kartu. Butas labai šviesus ir šiltas,langai orientuoti į pietryčių pusę.Atskirai įrengta miegamoji zona.Išnuomojamas su baldais ir buitine technika: skalbimo mašina, viryklė, šaldytuvas. Butas yra puikioje ramioje vietoje, netoli prekybos centro Panorama.Pro langus atsiveria gražus vaizdas į parkelį. Buto nuomos kaina 450 Eur+komunaliniai. Jeigu butas tiks, bus imamas vienkartinis agentūros mokestis.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-liepyno-g-nuomojamas-pilnai-irengtas-1-kambario-butas-4-1187642/;;;;;;;list index out of range;2022_11_13
Vilnius, Lazdynėliai, Žaibo g., 2 kambarių buto nuoma;1;47 m²;650 €;2;1;4;2022;Mūrinis;Centrinis kolektorinis;Įrengtas;Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu;Terasa, Vieta automobiliui;Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Indaplovė, Dušo kabina, Rekuperacinė sistema;Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna, Vaizdo kameros;www.aruodas.lt/4-1173847;2022-09-05;2022-11-03;2022-12-04;26;2063/8 (iš viso/šiandien);650;54.659377;25.190957;2063/8;"Išnuomojamas naujai įrengtas, dar negyventas, šviesus, jaukus 2 kambarių butas ""Lazdynėlių Vingis"" projekte. Butas šiltas, ekonomiškas, mažos išlaidos šildymui.Bute yra rekuperacinė vėdinimo sistema, signalizacija (judesio davikliai kambariuose, magnetai ant langų ir durų), LCD domofonas su vaizdo kameromis, šildomos grindys, mediniai langai su padidinta garso izoliacija. Namas yra uždaroje ir saugioje teritorijoje.Teritorija aptverta ir stebima vaizdo kameromis. Čia įrengtos bendruomenei skirtos erdvės - krepšinio aikštelė, treniruoklių, poilsio zonos bei vaikų žaidimo aikštelės.
Butas nuomojamas pilnai paruoštas patogiam gyvenimui. Yra indaplovė, orkaitė, skalbimo mašina, televizorius, erdvi terasa. Langai orientuoti į vakarų pusę, į vidinį kiemą.
Daugiabutis šalia miško, puikūs pasivakščiojimo takai, netoliese -Nėries upė.
Butui priklauso požeminio parkingo vieta (papildomasmokestis už parkingą 50 eur/mėn.)
Ieškomi nuomininkai be naminių gyvūnų.
Tiesiogiai be tarpininkų.
Daugiau informacijos telefonu +37066394692.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-lazdyneliuose-zaibo-g-isnuomojamas-naujai-irengtas-dar-negyventas-4-1173847/;A++;;;;;;;2022_11_13
Vilnius, Naujamiestis, Savanorių pr., kambario nuoma;;30 m²;300 €;1;3;3;1953;Mūrinis;Centrinis;Įrengtas;;;;;www.aruodas.lt/4-1187636;2022-10-20;2022-11-12;2022-12-04;17;3840/13 (iš viso/šiandien);300;54.6755;25.251194;3840/13;"Nuomojamas kambarys į saulėtą pusę, aukštomis lubomis, su balkonu.
5 kambarių butas priklauso trims šeimininkams.
Šaldytuvas, skalbimo mašina, el. viryklė, virt. spintelės,mikrobangų kr. atskirai jums. Virtuvėje kiekvienas turi atskirą zoną. Dušas, WCbendri . Imamas vieno mėnesio depozitas, sutartis registruojama, šiuo adresu galima registruoti gyvenamąją vietą. Nuomoja savininkas, nėra jokių sutarties sudarymo, brokerio mokesčiųš. m.5 kamb. bute gyvena 1 žmogus. Yra vieta automobiliui, viešasis transportas patogusįvairiomis kryptimis. Bute nerūkoma, be augintinių.Nuomos kaina 300 eurų + mokesčiai.";'NoneType' object has no attribute 'text';'NoneType' object has no attribute 'find_all';https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-nuomojamas-kambarys-i-sauleta-puse-aukstomis-4-1187636/;;;;;;;;2022_11_13
