skelbimo_pavadinimas,Namo numeris:,Plotas:,Kaina mėn.:,Kambarių sk.:,Aukštas:,Aukštų sk.:,Metai:,Pastato tipas:,Šildymas:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Nuoroda,Įdėtas,Redaguotas,Aktyvus iki,Įsiminė,Peržiūrėjo,kaina_eur,coordinate_x,coordinate_y,Skelbimą peržiūrėjo (iš viso/šiandien),Skelbimo tekstas,energijos_suvartojimo_klase,Azoto dioksidas (NO2),Kietosios dalelės (KD10),url_crawl,error_get_energy_consumption_class,error_get_air_polution_data,error_get_perziuru_sk,Buto numeris:,Pastato energijos suvartojimo klasė:,error_get_coordinates,scrape_date
"Vilnius, Naujamiestis, A. Vienuolio g., 1 kambario buto nuoma",4,20 m²,587 €,1,4,4,2021,Mūrinis,"Elektra, kita",Įrengtas,"Atskiras įėjimas, Aukštos lubos, Butas per kelis aukštus, Nauja kanalizacija, Nauja elektros instaliacija, Virtuvė sujungta su kambariu",,"Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Indaplovė, Rekuperacinė sistema","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1124050,2022-12-06,2022-12-20,2023-02-04,87,6366/16 (iš viso/šiandien),587,54.688377,25.276723,6366/16,"Rami studija miesto centre.
- Pilnai įrengta virtuvė (indaplovė, šaldytuvas, orkaitė, kaitlentė, skalbimo mašina su džiovinimo funkcija).
- Rekuperacinė sistema, kondicionierius, gaisrinė sistema.
- Autonominis šildymas elektra, itin pigus.
- Liftas.
- Kodine spyna rakinama laiptinė ir koridorius, stebėjimo kameros.
- Vieta dviračiams ir paspirtukams laikyti.
- Itin mažos komunalinės išlaidos.
- Rūpestingas ir komunikabilus administratorius.Pagrindinės nuomos sąlygos:
- Nuomos terminas - nuo 6 mėn.
- 1 mėn. dydžio depozitas.
- Neskirta rūkantiems ar laikantiems gyvūnus.
- Nėra jokio tarpininkavimo mokesčio.SU TARPININKAIS NEBENDRADARBIAUJAME.
Skambinti +37066394863, darbo dienomis 9:00 – 19:00 val., atsakysime į klausimus, suderinsime apžiūros laiką.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-a-vienuolio-g-rami-studija-miesto-centre-pilnai-irengta-4-1124050/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Žirmūnai, Žirmūnų g., 3 kambarių buto nuoma",,"65,55 m²",700 €,3,2,5,1965,Blokinis,Centrinis,Įrengtas,"Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia","Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna",www.aruodas.lt/4-1202818,2022-12-21,2022-12-22,2023-02-04,4,475/21 (iš viso/šiandien),700,54.711706,25.305521,475/21,"Nuomojamas 3 kambarių butas Žirmūnuose. Galima įsikelti jau nuo 2023m. sausio 1d.
Priimame su vaikais ir/ar su gyvūnais.Sutartis pasirašoma mažiausiai metams laiko.Buto ypatumai:
> Du funkcionalūs įstiklinti balkonai.
> Vidurinis kambarys yra pereinamas.
> Automobilio parkavimas galimas namo kieme.> 10min. iki miesto centro automobiliu.> 1min. iki viešojo transporto stotelės.> Priešais namą - darželis. Aplink yra ir kelios mokyklos.> 2 minutės pėsčiomis iki didelės maisto prekių parduotuvės ,,Hyper Rimi"" bei ,,Senukų.""P.S. Nuotraukose esančios vaiko lovelės bei kosmetinio stalo bute nebėra.Pianinas gali būti išvežtas, jei nuomininkai to pageidauja.",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-nuomojamas-kambariu-butas-zirmunuose-4-1202818/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Rasos, Alkūnės g., 1 kambario buto nuoma",,30 m²,360 €,1,0,3,"1990 statyba, 2010 renovacija",Mūrinis,"Centrinis, kita",Įrengtas,"Atskiras įėjimas, Internetas",Vieta automobiliui,"Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina",,www.aruodas.lt/4-1199598,2022-12-06,2022-12-09,2023-02-04,2,823/10 (iš viso/šiandien),360,54.67156,25.295663,823/10,"Nuomojamas pusrūsis nuosavame name su galimybe parkuotis. Komunaliniai patarnavimai : už elektrą mokama pagal skaitiklį; už šildymą, vandenį ir internetą 50 eur.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-rasose-alkunes-g-nuomojamas-pusrusis-nuosavame-name-su-4-1199598/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,C,,2022_12_30
"Vilnius, Naujoji Vilnia, Gerovės g., 1 kambario buto nuoma",3,28 m²,300 €,1,4,4,1964,Mūrinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1202804,2022-12-21,2022-12-27,,19,964/4 (iš viso/šiandien),300,54.690283,25.414025,964/4,"BUTAS JAU LAISVAS!BENDRA INFORMACIJA
Adresas - Gerovės gatvė, Vilnius;
Namo statybos metai - 1964 m.;
Aukštas - 4/4;
Bendras plotas - 28.28 kv.m.Kambarių skaičius - 1;ĮRENGIMAS
- Grindys – laminatas;
- Langai – plastikiniai.PAPILDOMA INFORMACIJA
- Butas yra šviesus;
- Nuomojamas su visais nuotraukoje matomais baldais ir buitine technika
- Yra balkonasNuomos kaina 300eur/mėn + depozitas 300eur",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-geroves-g-butas-jau-laisvas-bendra-informacija-4-1202804/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Burbiškės, Eišiškių pl., 2 kambarių buto nuoma",47,50 m²,700 €,2,3,5,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,Galima su gyvūnais,Terasa,"Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema","Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1179185,2022-12-19,2022-12-21,2023-02-04,36,449/21 (iš viso/šiandien),700,54.643094,25.260288,449/21,"išnuomuojamas erdvus, šiltas ir jaukus butas su terasa. Butas trečiame aukšte, laiptinėje liftas. Išnuomuojamas su visa reikalinga buitine technika (el. viryklė, el. orkaitė, šaldytuvas, indaplovė, skalbimo mašina/džiovyklė). Šildymas – centrinis kolektorinis(reguliuojamas), su individualia apskaita(maži komunaliniai mokesčiai). Taip pat bute įrengtas kondicionierius. Yra uždara automobilių aikštelė su parkingo vieta (visą teritorija stebima vaizdo kameromis). Maloni bendrija, pastate yra parduotuvė, kirpykla, sporto klubas, picerija. Sutvarkyta lauko aplinka, įrengtos vaikų žaidimų aikštelės, tinklinio aikštelė, treniruokliai. Patogi lokacija.Be tarpininkų, + depozitas vieno mėnesio.",,10.8 µg/m3,20 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-burbiskes-eisiskiu-pl-isnuomuojamas-erdvus-siltas-ir-jaukus-butas-4-1179185/,'NoneType' object has no attribute 'text',,,,,,2022_12_30
"Vilnius, Žirmūnai, Žirmūnų g., 1 kambario buto nuoma",4,29 m²,420 €,1,2,5,1965,Mūrinis,Centrinis,Įrengtas,"Kabelinė televizija, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",Vieta automobiliui,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia",Šarvuotos durys,www.aruodas.lt/4-1202762,2022-12-21,2022-12-21,2023-02-04,4,910/24 (iš viso/šiandien),420,54.698035,25.299444,910/24,"Butas laisvas.Nėra tarpininkavimo mokesčio!NUOMOS SUTARTIS:
- 12 mėn.
- 2 mėn. depozitas.
- Nuoma + komunaliniai.
- Nuoma mokama pavedimu iki mėnesio paskutinės dienos.BENDRA INFORMACIJA:
- Nuomos kaina: 420 Eur
- Bendras plotas: 29 kv.m.
- Aukštas: 2 iš 5
- Kambarių skaičius: 1 kambariaiGeroje lokacijoje išnuomojamas šviesus ir tvarkingas vieno kambario butas. Visiškai šalia namo yra viešojo transporto stotelė, tad patogiai ir greitai pasieksite miesto centrą. Vilniaus Katedros aikštė - vos už 2.5 km!Butas įrengtas su visais būtiniausiais baldais ir buitine technika.Puiki buto vieta: puikiai išvystyta infrastruktūra, parkai su dviračių takais, netoliese Žirmūnų paplūdimys. Vos už 350 m. IKI parduotuvė.Rami vieta, solidūs kaimynai, tad laukiami tvarkingi nuomininkai.
Parkingo vieta automobiliui priskirta tik namo gyventojams.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-butas-laisvas-nera-tarpininkavimo-4-1202762/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Šiaurės miestelis, Žygio g., 2 kambarių buto nuoma",,56 m²,650 €,2,3,3,1916,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, Tualetas ir vonia atskirai, Internetas, Galima deklaruoti gyvenamąją vietą, Galima su gyvūnais",,"Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė",,www.aruodas.lt/4-1202760,2022-12-21,2022-12-21,2023-02-04,16,437/33 (iš viso/šiandien),650,54.705696,25.294325,437/33,"Labai ramioje Vilniaus vietoje, Žygio gatvėje, nuomojamas išskirtinis butas.Buto įpatybės;
- Aukštos, 3.40 m.lubos
- Atskira virtuvė
- Bute yra visi baldai ir buitinė technika: itin didelis televizorius, skalbyklė-džiovyklė, indaplovė, orkaitė
- Svetainėje įrengta darbo vieta su šviesolaidiniu telia internetu
- Galima su gyvūnaisLaisvas nuo sausio mėnesio.
",5 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-zygio-g-labai-ramioje-vilniaus-vietoje-zygio-gatveje-4-1202760/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Antakalnis, Smėlio g., kambario nuoma",29,29 m²,300 €,1,3,5,1976,Mūrinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1195570,2022-11-21,2022-12-20,2023-02-04,12,2148/37 (iš viso/šiandien),300,54.703084,25.311438,2148/37,"Nuomojamaskambarys nuo Sausio 9 d.2023 Vilniuje Antakalnyje 2 kamabariu bute su virtuve ir vonia, yraskalbykle-dziovykle, dujine plyta, virtuves baldai, kambaryje sofa-lova,spinta, staliukas. Butas 3 aukste, Smelio gatveje, netoli silo tilto,salia iki parduotuve, sporto klubas, iki centro galima nueiti pesciomis, gerassusisiekimas. Kaina menesiui 300 plius mokesciai, tel. +37066393118",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-smelio-g-nuomojamas-kambarys-nuo-sausio-d-4-1195570/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Karoliniškės, Loretos Asanavičiūtės g., 3 kambarių buto nuoma",38,63 m²,499 €,3,4,9,1973,Blokinis,Centrinis,Įrengtas,,"Balkonas, Drabužinė","Skalbimo mašina, Su baldais, Šaldytuvas, Viryklė, Vonia",Kodinė laiptinės spyna,www.aruodas.lt/4-1190284,2022-12-17,2022-12-21,2023-02-04,16,353/18 (iš viso/šiandien),499,54.69195,25.21183,353/18,"Nuomojamas tvarkingas, šiltas, šviesus, jaukus 3-ų k. butas su baldais ir buitine technika.Du atskiri kambariai, vienas pereinamas. Yra tamsus kambarys-drabužinė. Du balkonai. Pakeisti langai. Didelė automobilių parkavimo aikštelė. Šildymas apie 80eur
499eur+paslaugos.
Nuomoja savininkas 8-699-64619
",,11.2 µg/m3,19.7 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-loretos-asanaviciutes-g-nuomojamas-tvarkingas-siltas-sviesus-4-1190284/,'NoneType' object has no attribute 'text',,,,,,2022_12_30
"Vilnius, Pašilaičiai, Girulių g., 2 kambarių buto nuoma",,47 m²,550 €,2,4,9,2007,Mūrinis,Centrinis,Įrengtas,"Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu, Galima su gyvūnais","Balkonas, Vieta automobiliui","Skalbimo mašina, Su baldais, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",www.aruodas.lt/4-1202726,2022-12-21,2022-12-29,2023-02-04,1,279/25 (iš viso/šiandien),550,54.738852,25.2156,279/25,"Pašilačiuose, Girulių gatvėje nuomojamas tvarkingas, jaukus ir šiltas dviejų kambarių 47m² butas su baldais ir buitine technika: TV, šaldytuvas, indaplovė, orkaitė, viryklė, gartraukis, skalbimo mašina. Erdvi vonia/WC su šildomomis grindimis. Yra balkonas, langai orientuoti į vakarus ir butas nėra kraštinis, todėl šilta net žiemos metu. Šildymas reguliuojamas.
Labai patogus susisiekimas viešuoju transportu ir automobiliu (netoli aplinkkelis).IŠPLANAVIMAS
-- Miegamasis;
-- Virtuvė ir svetainė kartu;
-- Vonios kambarys ir tualetas kartu;
-- BalkonasPARKINGAS:
-- Antžeminė parkavimo vieta +80 Eur
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-giruliu-g-pasilaciuose-giruliu-gatveje-nuomojamas-4-1202726/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Senamiestis, Kalvarijų g., 1 kambario buto nuoma",9,24 m²,500 €,1,2,6,1940,Monolitinis,"Centrinis, dujinis",Įrengtas,,,"Kondicionierius, Skalbimo mašina, Su baldais","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-1202708,2022-12-20,2022-12-26,2023-02-03,7,373/11 (iš viso/šiandien),500,54.693868,25.281614,373/11,"Nuo 2023 01 27d. išnuomojamas 1 kambario butas šalia Žaliojo tilto. Strategiškai labai geroje vietoje, tik 10min. pėsčiomis iki Katedros aikštės ir 10min. iki verslo centro Europa, Swedbank būstinės, Quadrum, Vilniaus savivaldybės ir t.t..
Butas nuomojamas be tarpininkų. Nuomos kaina - 500 eur/mėn.BENDRA INFORMACIJA:
- Bendras plotas: 24m²;
- Aukštas: 2 iš 6
- Šildymas : centrinis (žiemą šildymas kainuos iki 100 eurų);
- Kambarių skaičius : 1PRIVALUMAI:
- Šarvo durys;
- Ideali vieta;
- Patogus išplanavimas;
- Pilnai įrengta virtuvė ir wc: šaldytuvas, viryklė, orkaitė, skalbimo mašina, kondicionieriusIŠPLANAVIMAS:
- Vonios kambarys ir WC kartu;
- Virtuvės zona sujungta su kambariu;
- Miegamasis ir erdvi drabužinė
",6 Klasė Bloga (6-8),14.9 µg/m3,28.1 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-kalvariju-g-nuo-d-isnuomojamas-kambario-4-1202708/,,,,,,,2022_12_30
"Vilnius, Senamiestis, J. Basanavičiaus g., 2 kambarių buto nuoma",6,46 m²,790 €,2,4,4,1980,Mūrinis,Elektra,Įrengtas,"Butas palėpėje, Tualetas ir vonia atskirai, Nauja elektros instaliacija, Uždaras kiemas, Virtuvė sujungta su kambariu",Vieta automobiliui,"Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina",Kodinė laiptinės spyna,www.aruodas.lt/4-1202710,2022-12-20,2022-12-20,2023-02-03,11,1388/21 (iš viso/šiandien),790,54.679972,25.276129,1388/21,"Butas palėpėje, jaukus, savitas, naujai sutvarkytas, puikiai tinkamas patogiai gyventi vienam ar dviem Senamiestį mylintiems miestiečiams. Butas padalintas į keletą erdvių, miegamasis atskirtas lentynomis, išlaikant erdvės vientisumą. Tylu, nes buto langai į kiemą bei Modernaus meno centro parkelį. Tvarkinga, prižiūrėta laiptinė. Malonūs, ramūs kaimynai. Uždaras kiemas.Bute šildomos grindys.Dėl pasvirusių sienų butas erdvesnis nei formalūs 46 kv.m.Ieškome ramių, mėgstančių gyventi šiek tiek kitaip gyventojų.",5 Klasė Vidutinė (4-5),15.1 µg/m3,22.9 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-basanaviciaus-g-butas-palepeje-jaukus-savitas-naujai-4-1202710/,,,,,,,2022_12_30
"Vilnius, Žvėrynas, Studentų g., 1 kambario buto nuoma",45,19 m²,450 €,1,4,5,"1967 statyba, 2022 renovacija",Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą, , ,Допомога українцям, , Lankstesnės nuomos sąlygos ukrainiečiams (dėl nuomos laikotarpio, kainos ar kt.). Daugiau informacijos – skelbime nurodytais kontaktais. / Більш гнучкі умови оренди для українців (за рахунок терміну оренди, цін тощо). Більше інформації за контактами, вказаними в оголошенні.",Vieta automobiliui,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Dušo kabina","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-1202698,2022-12-20,2022-12-30,2023-02-03,8,421/16 (iš viso/šiandien),450,54.69607,25.258831,421/16,"NUOMOJAMAS NAUJAI ĮRENGTAS 1 KAMBARIO BUTAS PAČIAME VILNIAUS MIESTO CENTREKAINA:-	Nuomos kaina 450 EUR + komunaliniai mokesčiai;
-	Pasirašius sutartį sumokama mėnesio nuoma + 1 mėnesio depozitas________________________________________________________PRIVALUMAI-	Butas naujai įrengtas - būsite pirmieji gyventojai
-	Namas renovuotas 2022 metais: pakeisti langai, sutvarkytos laiptinės, koridoriai, sutvarkytas fasadas, nauji inžineriniai tinklai.
-	Nuomojamas su baldais ir buitine technika (šaldytuvas su šaldymo kamera, kaitlentė, orkaitė, skalbyklė – džiovyklė, taupus vandens šildytuvas bei el. gyvatujas)
-	Funkcinis apšvietimas - maisto ruošimui, darbui, poilsiui.
-	Miegamojo zonoje rasite patogią ir kokybišką sofą lovą su daiktadėže.
-	Funkcionalus naktiniai roletai (black-out) – tinka žmonėms kuriems reikia miegoti dienos metu.
-	Šarvuotos dviejų spynų buto durys, rakinama laiptinė;
-	Strategiškai patogi vieta - puikus susisiekimas tiek pėsčiomis tiek asmeniniu ir miesto transportu.
-	Kelių minučių bėgyje pasieksite Vingio parką ir Neries krantinę su pasivaikščiojimo bei dviračių takais, pramogų ir sporto zona prie Baltojo tilto
-	Šalia didieji prekybos centrai, mokslo įstaigos, sporto klubai ir kiti miesto traukos objektai.
-	nedideli komunaliniai mokesčiai;
-	Yra didelis vidinis kiemas mašinos parkavimui (nemokamai).
-	Yra galimybė išsipirkti leidimą metams iš savivaldybės, kad statyti mašiną Studentų gatvėje (geltona zona).
",,14.5 µg/m3,21.1 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-studentu-g-nuomojamas-naujai-irengtas-kambario-butas-4-1202698/,'NoneType' object has no attribute 'text',,,,,,2022_12_30
"Vilnius, Fabijoniškės, S. Stanevičiaus g., 1 kambario buto nuoma",88,"40,24 m²",320 €,1,1,5,1989,Blokinis,Centrinis,Įrengtas,Tualetas ir vonia atskirai,Rūsys,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia",Kodinė laiptinės spyna,www.aruodas.lt/4-1196838,2022-11-25,2022-12-20,2023-02-03,23,1341/34 (iš viso/šiandien),320,54.727846,25.251525,1341/34,"Išnuomojamas 1 kambario butasVilniuje, Fabijoniškėse, S.Stanevičiaus g. 88.
Butas tvarkingas. Šio metų butas tuščias .Patogus išplanavimas- erdvus koridorius, tamsus kambaris.Geras susiekimas su kitais miesto rajonais bei miesto centrųtiek nuosavų transportų , tiek visomieninio transportų.Rami vieta, netolies yra miškelis, kuris tinka pasivaikščiojimamsDaugiau informacijos tel.+37066392058",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-s-staneviciaus-g-isnuomojamas-kambario-butas-vilniuje-4-1196838/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Fabijoniškės, Salomėjos Nėries g., 2 kambarių buto nuoma",93,45 m²,500 €,2,11,12,2006,Monolitinis,Centrinis kolektorinis,Įrengtas,Virtuvė sujungta su kambariu,"Balkonas, Vieta automobiliui","Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Vonia","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-1202662,2022-12-20,2022-12-20,2023-02-03,3,595/11 (iš viso/šiandien),500,54.742069,25.229934,595/11,"NUOMOJAMAS TVARKINGAS 2 KAMBARIŲ BUTAS SU DUJINIU KOLEKTORINIU ŠILDYMU. BUTAS LABAI ŠILTAS, MAŽI KOMUNALINIAI MOKESČIAI, GERAS VAIZDAS PRO LANGĄ. ŠALIA NAMO PARKAVIMO VIETA PO STOGU.Nuomojama ilgesniam laikotarpiui, buto kartu su parkingu nuoma - 500 EUR/mėn!IŠPLANAVIMAS:-Prieškambaris;
-Svetainė su virtuve;
-Miegamasis;
-Vonios kambarys ir tualetas kartu.ĮRENGIMAS IR BALDAI:
- Visa reikiama buitinė technika (šaldytuvas, viryklė - orkaitė, gartraukis, skalbimo mašina);
- Spinta su veidrodžiu prieškambaryje;
- Spinta miegamajame;
- Miegamojo dvigulė lova su čiužiniu;
- Visi buto langai orientuoti į pietvakarių pusę;
- Plastikiniai langai;- Didelis balkonas su puikiu vaizdu;
- Rakinama laiptinė;
- Šarvuotos durys.VIETA:
- Strategiškai patogi vieta;
- Patogus susisiekimas viešuoju transportu ir nuosavu automobiliu;
- Ramūs kaimynai, rami vieta;
- Dviračių bei pasivaikščiojimo takai;Dėl apžiūros skambinkite Jums patogiu laiku, butas nuomojamas be tarpininkų.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-salomejos-neries-g-nuomojamas-tvarkingas-kambariu-butas-su-4-1202662/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Naujamiestis, Algirdo g., 1 kambario buto nuoma",41A,30 m²,595 €,1,4,5,1950,Mūrinis,Centrinis,Įrengtas,Virtuvė sujungta su kambariu,,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Dušo kabina, Vonia","Šarvuotos durys, Kodinė laiptinės spyna",www.aruodas.lt/4-1141637,2022-12-20,2022-12-20,2023-02-03,22,1543/10 (iš viso/šiandien),595,54.6739,25.271436,1543/10,"Šviesus bei jaukus butas, kelios minutės pėsčiomis iki Senamiesčio, prekybos centrų. Butas bus laisvas nuo gegužės 2d. Minimalus nuomos laikas: 12 mėnesių.",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-sviesus-bei-jaukus-butas-kelios-minutes-4-1141637/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Galgiai, Centrinė g., 2 kambarių buto nuoma",,41 m²,380 €,2,1,3,"1992 statyba, 2007 renovacija",Mūrinis,Dujinis,Įrengtas,"Atskiras įėjimas, Tualetas ir vonia atskirai, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu, Buto dalis",,,,www.aruodas.lt/4-1102831,2022-12-29,2022-12-29,2023-02-03,86,234/58 (iš viso/šiandien),380,54.71633,25.412543,234/58,"Išskirtinis butas ramioje poilsio zonoje netoli VU botanikos sodoAsmenine terasa ir 2 parkingo vietos!Autonominis šildymas (dujos su kompensacija ir elektra, vanduo nemokamas )Yra atskiras išėjimas.Atstumai be kamščių:Iki centro 15 min,iki Antakalnio šilo tilto tiesiai kelias - 6km.Šalia3 dideli nauji prekybos centrai•Sutartis 3-6mėnesiaiPriimsime gyventi 2-1žmonesKaina be komunalinių mokesčių",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-galgiuose-centrine-g-isskirtinis-butas-ramioje-poilsio-zonoje-4-1102831/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Šeškinė, Musninkų g., 2 kambarių buto nuoma",20,"50,3 m²",550 €,2,2,9,1980,Monolitinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1202596,2022-12-20,2022-12-20,2023-02-03,1,203/12 (iš viso/šiandien),550,54.71679,25.239073,203/12,"Nuomojamas šviesus, jaukus 2 kamb. butas su baldais Musninkų g., Šeškinėje.
BUTAS LAISVAS. GALIMA ĮSIKELTI BET KADA.BENDRA INFORMACIJA:
- Butas nuomuojamas su baldais ir buitine technika.
- Kambarių skaičius: 2 (svetainė ir miegamasis);
- vonios kambarys;
- wc;
- langų orientacija: pietvakariai-vakarai.PRIVALUMAI:
- Tvarkinga, rakinama namo laiptinė;
- Ramūs kaimynai;
- Netoliese maisto prekių parduotuvės, viešojo transporto stotelės, mokymosi įstaigos, darželiai;
- Nedideli komunaliniai mokesčiai.INFORMACIJA NUOMININKAMS: gali būti su naminiais gyvūnais. Prioritetas Lietuvos piliečiams.DĖL IŠSAMESNĖS INFORMACIJOS KREIPTIS TEL.: +37060059526
Nepavykus prisiskambinti, rašykite SMS žinute.Jei butas tiks, bus taikomas vienkartinis tarpininkavimo mokestis.
",5 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-musninku-g-nuomojamas-sviesus-jaukus-kamb-butas-su-4-1202596/,,'NoneType' object has no attribute 'find_all',,,,,2022_12_30
"Vilnius, Karoliniškės, Apolinaro Juozo Povilaičio g., 2 kambarių buto nuoma",14,47 m²,420 €,2,1,5,1974,Blokinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1191506,2022-11-05,2022-12-29,,10,1396/7 (iš viso/šiandien),420,54.695908,25.223229,1396/7,"
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-apolinaro-juozo-povilaicio-g-4-1191506/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,221,,,2022_12_30
"Vilnius, Žirmūnai, Žirmūnų g., 2 kambarių buto nuoma",15,48 m²,550 €,2,1,5,1965,Blokinis,Centrinis,Įrengtas,,,,,www.aruodas.lt/4-1197108,2022-11-27,2022-12-29,2023-02-03,24,1043/37 (iš viso/šiandien),550,54.712254,25.306596,1043/37,"Nuomojamas dviejų kambarių butas Žirmūnų g, patogioje vietoje.Buto informacija:
- 2 atskiri kambariai
- Virtuvė su indukcine kaitlente, orkaitė, šaldytuvu, atskira nuo kitų kambarių
- Naujai sutvarkytas vonios kambarys, skalbimo mašina
- Erdvi svetainė su baldais, pagal poreikį paliekamas patogus darbo stalas
- Erdvus miegamasis, lova,naujas čiužinys, talpi įmontuota spinta
- Įstiklintas erdvus balkonas (eina per svetainę ir virtuvę)
- Langai į priešingą pusę nuo laiptinės įėjimo. Namas antroje eilėje nuo gatvės, todėl nesigirdi jokio gatvės triukšmo.
- Dalinai renovuotas namas, mažesni mokesčiai
- TV ir internetas kartu butui tik 14.50
- Netoliese pasivaikščiojimo takas palei Nerį
- Artimiausia stotelė už 100m, Hyper Rimi 300m.
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-zirmunu-g-nuomojamas-dvieju-kambariu-butas-zirmunu-g-4-1197108/,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,,2022_12_30
