url_crawl,Mėn.,Nusikaltimai 500 m spinduliu,periodas,error,scrape_date
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,balandis,2,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,gegužė,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,birželis,2,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,liepa,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,rugpjūtis,0,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-santariskese-daujoto-g-naujas-pilnai-irengtas-butas-i-kuri-gali-1-3259478/,rugsėjis,1,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,spalis,41,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,lapkritis,60,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,gruodis,39,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,sausis,38,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,vasaris,53,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,kovas,59,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,balandis,36,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,gegužė,72,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,birželis,64,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,liepa,64,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,rugpjūtis,58,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,rugsėjis,104,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,spalis,82,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,lapkritis,61,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,gruodis,72,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,sausis,59,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,vasaris,30,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,kovas,22,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,balandis,19,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,gegužė,48,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,birželis,35,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,liepa,32,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,rugpjūtis,29,2020 spalis - 2022 rugsėjis,,2022_10_25
https://www.aruodas.lt/butai-vilniuje-zirmunuose-tuskulenu-g-wwwtu3alt-tu3a-tai-tuskulenu-g-3a-1-3259756/,rugsėjis,24,2020 spalis - 2022 rugsėjis,,2022_10_25
