skelbimo_pavadinimas,Namo numeris:,Plotas:,Kaina mėn.:,Kambarių sk.:,Aukštas:,Aukštų sk.:,Metai:,Pastato tipas:,Šildymas:,Įrengimas:,Nuoroda,Įdėtas,Redaguotas,Aktyvus iki,Įsiminė,Peržiūrėjo,kaina_eur,coordinate_x,coordinate_y,Skelbimą peržiūrėjo (iš viso/šiandien),Skelbimo tekstas,energijos_suvartojimo_klase,Azoto dioksidas (NO2),Kietosios dalelės (KD10),url_crawl,Pastato energijos suvartojimo klasė:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,error_get_energy_consumption_class,error_get_air_polution_data,Buto numeris:,error_get_coordinates,error_get_perziuru_sk,scrape_date
"Vilnius, Senamiestis, T. Vrublevskio g., 2 kambarių buto nuoma",6B,65 m²,950 €,2,2,3,1940,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1178361,2022-09-19,2022-10-23,2022-12-03,10.0,777/22 (iš viso/šiandien),950,54.687598,25.286671,777/22,"“Žavus butas prie Katedros""BUTAS LAISVAS NUO 2022 11 01Puikus butas, puikioje vietoje. Ką dar galima pridurti, kai iki Katedros aikštės ""trys žingsniai"". O pridurti galima - namas yra jaukiame vidiniame kieme, kuriame visada rasite vietos automobiliui. Butas įrengtas taip skoningai, kad jaučiasi gero dizainerio ranka, o gal tai pačių šeimininkų įrengimas su daug meilės?Įėjus į butą mus pasitiks didelė svetainės, valgomojo ir virtuvės erdvė. Langų gausa ir senovinės plytos sukuria ypatingą jausmą. Jauki miegamojo arba poilsio erdvė išmaniai atskirta mūrine siena ir knygų lentyna. Prie viso buto jaukumo prisideda dar vienas akcentas - židinys.Vonios kambarys funkcionaliai suplanuotas - rasime ir vonią, ir dušą, o senos plytos - tęstinis buto interjero akcentas.Galiausiai tvarkinga laiptinė, gera kaimynystė - irgi svarbūs dalykai.",5 Klasė Vidutinė (4-5),14.7 µg/m3,24.2 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-t-vrublevskio-g-zavus-butas-prie-katedros-butas-laisvas-4-1178361/,,,,,,,,,,,2022_11_02
"Vilnius, Šeškinė, Šeškinės g., 2 kambarių buto nuoma",35,53 m²,450 €,2,11,13,1982,Monolitinis,Centrinis,Įrengtas,www.aruodas.lt/4-1187292,2022-10-19,2022-10-24,2022-12-03,33.0,1964/46 (iš viso/šiandien),450,54.717669,25.251593,1964/46,"Nuomojamas butas netoli PC AKROPOLIS
Be tarpininkavimo mokescio
Butas nuomojamas porai arba 2 merginoms be gyvunu.- Butas suremontuotas, tvarkingas.
- Nuomojamas su visais baldais ir buitine technika.
- Labai erdvus, virtuvė sujungta su svetaine.
- Butas šiltas ir jaukus.
- Sienos dažytos.
- Nauji radiatoriai su termostatais.
- Vonios ir tualeto kambariai išklijuoti plytelėmis.
- Langai plastikiniai.
- Durys šarvuotos.
- Visa reikalinga buitinė technika (šaldytuvas-šaldiklis, elektrinė virykle, arbatinukas, gartraukis, skalbimo mašina).
- Pilnas virtuvinis komplektas.
- Visi reikalingi baldai!
- Didelis įstiklintas balkonas.
- Yra šviesolaidinio interneto įvadas.NAMAS- Monolitinis.
- 11/13 aukštas.
- Gera garso izoliacija.
- Ramūs ir tvarkingi kaimynai.
- Namo prieigos, laiptinė bei liftai stebimi vaizdo kameromis.
- Rakinama kodinė laiptinė.
- Labai tvarkinga, sutvarkyta laiptinė.
- Du nauji liftai, vienas jų didelis krovininis.
- Naujos pašto dėžutės.
- Namas labai prižiūrimas ir tvarkingas.
- Nebrangus šildimas
- Šalia namo erdvi automobilių stovėjimo aikštelė.
- Namas labai patogioje vietoje, geras susisiekimas tiek asmeniniu, tiek viešuoju transportu.
- Strategiškai itin patogi vieta - aplinkui mokyklos, vaikų darželiai, parduotuvės, turgelis, poliklinika.Butas nepritaikytas laikyti naminius gyvūnus.Butas tinkamiausias porai. Arba 2 merginomsButas nuomojamas ne trumpesniam negu 6 mėn. laikotarpiui.Kaina 450 Eur/mėn. + komunaliniai.Mob. +37066392113",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-seskineje-seskines-g-nuomojamas-butas-netoli-pc-akropolis-be-4-1187292/,,"Tualetas ir vonia atskirai, Nauja kanalizacija, Nauja elektros instaliacija, Internetas, Kabelinė televizija","Balkonas, Drabužinė","Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Vonia","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",,'NoneType' object has no attribute 'find_all',64,,,2022_11_02
"Vilnius, Žirmūnai, Rinktinės g., kambario nuoma",,18 m²,200 €,1,2,9,1976,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1157098,2022-10-19,2022-10-28,2022-12-03,12.0,2119/51 (iš viso/šiandien),200,54.697136,25.287448,2119/51,"Strategiškai patogioje vietoje, Rinktinės gatvėje, nuomojamas jaukus ir šiltas, tvarkingas 1 kambaris (3-jų kambarių bute).
Viename ir kitame kambaryje gyvena draugiški ir ramūs vyrai.
Kambario nuomos mokestis: 200€/mėn su komunaliniais mokesčiais.
Kambarys su balkonu laisvas ji galima apžiurėti Jums patogiu laiku.YPATYBĖS:
- Langai: plastikiniai;
- Grindys: laminatas; Sienos: tapetai
- Yra visi patogiam gyvenimui reikalingi baldai ir buitinė technika (šaldytuvas, viryklė, orkaitė, mikrobangų krosnelė, skalbimo mašina)IŠPLANAVIMAS:
- Sofa-lova, erdvi spinta, stalas ir kėdės;
- Buitinė technika (šaldytuvas, viryklė, skalbimo mašina);
- Erdvus prieškambaris;
- Wc ir vonios kambarys vienoje patalpoje;
- Centrinis šildymas(mažos šildymo išlaidos);
- Komunikacijos – kabelinė televizija, internetas;
- Rakinama namo laiptinė.Patogus susisiekimas su centrine miesto dalimi, šalimais mokyklos, darželiai, parduotuvės LIDL,MAXIMA, kavinės, KALVARIJŲ TURGUS!!!!!
Vidiniame kieme visada rasite vietą savo automobiliui.
",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-rinktines-g-strategiskai-patogioje-vietoje-rinktines-4-1157098/,,Internetas,Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė","Šarvuotos durys, Kodinė laiptinės spyna",'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Užupis, Manufaktūrų g., 2 kambarių buto nuoma",9,36 m²,800 €,2,5,5,2021,Mūrinis,"Centrinis, centrinis kolektorinis",Įrengtas,www.aruodas.lt/4-1187244,2022-10-25,2022-10-25,,14.0,291/25 (iš viso/šiandien),800,54.677102,25.318066,291/25,"Nuomojamas naujas, modernus, šiltas ir kokybiškai su dizainerio pagalba įrengtas 2 kambarių butas naujos statybos name su panoraminiu liftu ir požeminiu parkavimu Markučiuose, Manufaktūrų g.BUTO PRIVALUMAI:* naujai ir kokybiškai įrengtas su visais naujais baldais ir buitine technika-būtumėte pirmieji gyventojai!
* komfortiškas ir ekonomiškas patogiai termostatais reguliuojamas kiekviename kambaryje grindinis šildymas!
* įrengtas kondicionierius;
* yra erdvus net 10 kv.m balkonas į apželdintą uždarą erdvų vidinį kiemą (pietų pusė, išėjimas iš svetainės ir iš miegamojo);
* funkcionaliai suplanuotas - daug vietos daiktams, atskirta mini darbo vieta;
* visa reikalinga kokybiška nauja buitinė technika (skalbyklė-džiovyklė, šaldytuvas, orkaitė, kaitlentė, indaplovė, jeigu reikės, bus nupirktas televizorius);
* mediniai panoraminiai langai;
* butui priklauso sandėliukas požeminiame parkinge, kuriuo galėsite naudotis NEMOKAMAI;
* butui priklauso patogi požeminė parkavimo vieta (pakylama iki buto liftu, stebima kamerų) (+50Eur/mėn.);NAMO PRIVALUMAI:* Nauja statyba, aukšta energetinė klasė, todėl itin mažos išlaidos šildymui;
* 5 aukštai, panoraminis liftas!
* Uždara ir apželdinta teritorija, įrengta vaikų žaidimo aikštelė, suoliukai, įrengtos saugos kameros;
* Erdvi, šviesi laiptinė;* Požeminis parkavimas;VIETA:* Šalia yra nauji pasivaikščiojimo / dviračių takai iki Senamiesčio, įrengtas naujas sporto aikštynas su treniruokliais, bėgimo takas, krepšinio/futbolo ir tinklinio aikštelėmis;
* Namas ne tik patogioje, bet ir gražioje vietoje – šalia pasivaikščiojimo – bėgiojimo takai iki Senamiesčio, sporto aikštynas;
* Šalia teka upė Vilnelė ir yra Pavilnio regioninis parkas su pasivaikščiojimo takais;
* Atokiau nuo gatvių, todėl nesigirdi jokio gatvės triukšmo (langai orientuoti į pėsčiųjų taką);
* Netoliese yra kavinės, kepyklėlė, vaikų darželis, mokykla, parduotuvės;
* Strategiškai patogi vieta – puikus susisiekimas su visomis Vilniaus vietomis tiek visuomeniniu, tiek ir privačiu transportu;
* Idealiai tinka dirbantiems Centre, Senamiestyje arba aplinkinėse teritorijose.Daugiau informacijos pateiksiu telefonu.Kviečiu apžiūrėti jums patogiu metu!
*******************************************************************************
Norite parduoti ar išnuomoti savo nekilnojamąjį turtą?
Ieškote investicinio turto? - kreipkitės, pradinė konsultacija NEMOKAMA!
www.manoturtas.lt",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-manufakturu-g-nuomojamas-naujas-modernus-siltas-ir-4-1187244/,A+,"Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą","Sandėliukas, Balkonas, Vieta automobiliui","Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina, Rekuperacinė sistema","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros",'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Bajorai, Bajorų kel., 1 kambario buto nuoma",,38 m²,560 €,1,3,4,2014,Monolitinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-526810,2022-10-19,2022-10-19,2022-12-03,4.0,551/14 (iš viso/šiandien),560,54.757292,25.258019,551/14,"IŠNUOMOJAMAS A ENERGINIO NAUDINGUMO KLASĖS DAUGIABUTYJE, PUIKIAI ĮRENGTAS 1,5 K. BUTAS BAJORŲ KALVOSE SU POŽEMINE AUTOMOBILIO STOVĖJIMO VIETA BEI DVIRAČIŲ SAUGYKLA (SANDĖLIUKU).
BUTAS ŠVIESUS IR LABAI ŠILTASA ENERGINIO NAUDINGUMO KLASĖS DAUGIABUTIS
* MAŽI MOKESČIAI;
* SVETAINĖ SUJUNGTA SU VIRTUVE;
* ATSKIRAS MIEGAMASIS;
* VONIOS KAMBARYS SUJUNGTAS SU TUALETU;
* ĮSTIKLINTAS BALKONAS;
* REKUPERACINĖ VĖDINIMO SISTEMA
* INTEGRUOTI VIRTUVĖS BALDAI, VISA BUITINĖ TECHNIKA (ŠALDYTUVAS, INDAPLOVĖ, ELEKTRINĖ VIRYKLĖ, GARTRAUKIS, SKALBIMO MAŠINA);
* ŠILDOMOS GRINDYS VONIOJE;
* INTEGRUOTA SIENINĖ SPINTA;
* MIEGAMAJAME DVIGULĖ LOVA;
* LED APŠVIETIMAS.;
* KODINĖ SPYNAUŽDARA TERITORIJA, SUTVARKYTA APLINKA, KIEME FONTANAS, SUOLIUKAI, VAIKŲ ŽAIDIMŲ AIKŠTELĖ.
BUTAS BUS LAISVAS NUO LAPKRIČIO 1D.
MINIMALUS NUOMOS TERMINAS - 1 METAI.NUOTRAUKOS 2 TIPŲ, PIRMOS, KAI BUTAS BUVO TUŠČIAS, ANTROS - KAIP ĮSIRENGĘ GYVENA NUOMININKAI.
NUOMOJAMA BE TARPININKŲ. BROKERIAI - NESKAMBINKITE.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-bajoruose-bajoru-kel-isnuomojamas-a-energinio-naudingumo-klases-4-526810/,,"Nauja elektros instaliacija, Virtuvė sujungta su kambariu","Sandėliukas, Balkonas",,,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Senamiestis, Šv. Stepono g., 1 kambario buto nuoma",29,"34,34 m²",600 €,1,4,4,2007,Mūrinis,"Elektra, centrinis kolektorinis",Įrengtas,www.aruodas.lt/4-356290,2022-10-19,2022-10-19,2022-12-03,57.0,21814/32 (iš viso/šiandien),600,54.67098,25.279139,21814/32,"Nuomojame šviesų ir jaukų 1 kambario butą naujos statybos name Šv.Stepono g. 29 Senamiestyje.- Butą nuomojame su visais įprastam gyvenimui reikalingais baldais ir buitine technika (šaldytuvu, indaplove, elektrine virykle su gartraukiu, skalbykle, dulkių siurbliu lygintuvu ir t.t.);
- Butas yra 4 aukšte iš 4;
- Iki buto pakilsite patogiai liftu;
- Gyvenamasis kambarys yra vienoje patalpoje su virtuve;
- Miegamoji didelė dvigulė lova. Aukšti langai duoda daug šviesos ir erdvumo pojūtį, gražus vaizdas ir saulėlydžiai stebint vakarinę miesto dalį;
- Koridoriuje yra sumontuota labai talpi drabužinė;
- Švari ir tvarkinga aplinka;
- Patogus susisiekimas su miesto senamiesčiu ir centru ir kitais mikrorajonais, netoliese yra autobusų/troleibusų stotelės (Kauno g.);
- Šalia - Iki, Maxima ir Lidl parduotuvės, Autobusų ir traukinių stotys, Daug įvairių restoranų;
- Automobilio parkavimas –Šalia namo, žalia mokama miesto zona, parkavimo vietose aplink namą;
- Iki Rotušėas aišktės eiti pėsčiomis (~ 1000 m) yra pasivaikščiojimo ir dviračių takai;
- Uždara didelė kIemo teritorija su vaikų žaidimo aikštele;
- Komunaliniai patarnavimai į nuomos kainą neįskaičiuoti ir turės būti mokami atskirai. Už šių metų rugsėjo mėn., komunalinės išlaidos (be elektros ir vandens) sudarė 16 Eur.Buto nuomos kaina: 600 Eur., plius komunalinės paslaugos. Juridiniams asmenims nuomos kaina + PVM;
Butą nuomojame tiesiogiai, be tarpininkų, galime komunikuoti Anglų ir Rusų kalbomis, sudarome sutartį. Tikimės, kad gyvens tvarkingi ir geri žmonės. Norėtume nuomoti ilgesniam, bet ne mažiau nei 12 mėn laikotarpiui. Prašome 2 mėn. nuomos dydžio užstato. Nuomos pradžia - nuo šių metų lapkričio 01 d.We are renting a bright and cozy 1-room apartment in a newly built house on Šv.Stepono st. 29 in the Old Town.
- We rent the apartment with all the furniture and household appliances necessary for normal life (refrigerator, dishwasher, electric stove with hood, washing machine, vacuum cleaner, iron, etc.);
- The apartment is on the 4th floor out of 4;
- You can reach the apartment comfortably by elevator;
- The living room is in one room with the kitchen;
- Bedroom with a large double bed. High windows give a lot of light and a feeling of spaciousness, a beautiful view and sunsets watching the western part of the city;
- A very spacious wardrobe is installed in the corridor;
- Clean and tidy environment;
- Convenient access to the old town and center of the city and other micro-districts, there are bus/trolley bus stops nearby (Kauno st.);
- Nearby - Iki, Maxima and Lidl stores, Bus and train stations, Many different restaurants;
- Car parking - Next to the house, green paid city zone, in parking places around the house;
- There are walking and cycling paths within walking distance (~ 1000 m) to the Town Hall Square;
- A large closed yard area with a children's playground;
- Utilities are not included in the rental price and will have to be paid separately. For September of this year, utility costs (excluding electricity and water) amounted to EUR 16. Apartment rental price: EUR 600, plus utilities. For legal entities, the rental price + VAT;
We rent the apartment directly, without intermediaries, we can communicate in English and Russian, we conclude a contract. We hope that orderly and good people will live there. We would like to rent for a longer period, but not less than 12 months. Please 2 months rent deposit. The beginning of the lease - from November 01 of this year.Сдаем светлую и уютную 1-комнатную квартиру в строящемся доме на ул. Св.Степоно. 29 в Старом городе.
- Сдаем квартиру со всей необходимой для нормальной жизни мебелью и бытовой техникой (холодильник, посудомоечная машина, электрическая плита с вытяжкой, стиральная машина, пылесос, утюг и т.д.);
- Квартира находится на 4 этаже из 4;
- Вы можете удобно добраться до квартиры на лифте;
- Гостиная находится в одной комнате с кухней;
- Спальня с большой двуспальной кроватью. Высокие окна дают много света и ощущение простора, красивый вид и наблюдение за закатами западной части города;
- В коридоре установлен очень вместительный шкаф-купе;
- Чистота и порядок вокруг;
- Удобный доступ к старому городу и центру города и другим микрорайонам, рядом остановки автобуса/троллейбуса (ул. Кауно);
- Рядом - магазины Ики, Максима и Лидл, Автовокзалы и вокзалы, Много разных ресторанов;
- Автостоянка - Рядом с домом, зеленая платная городская зона, на парковочных местах вокруг дома;
- В шаговой доступности (~1000 м) до Ратушной площади проложены пешеходные и велосипедные дорожки;
- Большая закрытая дворовая территория с детской площадкой;
- Коммунальные услуги не входят в стоимость аренды и оплачиваются отдельно. В сентябре этого года коммунальные расходы (без электричества и воды) составили 16 евро. Стоимость аренды квартиры: 600 евро плюс коммунальные услуги. Для юридических лиц стоимость аренды + НДС;
Сдаем квартиру напрямую, без посредников, можем общаться на английском и русском языках, заключаем договор. Мы надеемся, что там будут жить порядочные и хорошие люди. Мы хотели бы арендовать на более длительный срок, но не менее 12 месяцев. Пожалуйста, 2 месяца арендный депозит. Начало аренды - с 01 ноября текущего года.",4 Klasė Vidutinė (4-5),,,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-stepono-g-nuomojame-sviesu-ir-jauku-1-kambario-buta-4-356290/,,"Butas palėpėje, Nauja kanalizacija, Nauja elektros instaliacija, Uždaras kiemas, Internetas, Kabelinė televizija, Virtuvė sujungta su kambariu",,"Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Plastikiniai vamzdžiai, Vonia","Šarvuotos durys, Kodinė laiptinės spyna",,'NoneType' object has no attribute 'find_all',34,,,2022_11_02
"Vilnius, Naujamiestis, Žygio g., 1 kambario buto nuoma",1,28 m²,400 €,1,3,11,1980,Mūrinis,"Centrinis, elektra",Įrengtas,www.aruodas.lt/4-1187120,2022-10-18,2022-10-24,2022-12-02,1.0,529/28 (iš viso/šiandien),400,54.704237,25.289988,529/28,"be remonto
kaina 400eur",5 Klasė Vidutinė (4-5),16.4 µg/m3,25.7 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-zygio-g-be-remonto-kaina-400eur-4-1187120/,,,,,,,,,,,2022_11_02
"Vilnius, Šiaurės miestelis, Žygio g., 3 kambarių buto nuoma",90,"75,08 m²",1 000 €,3,5,5,2009,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1187090,2022-10-18,2022-10-19,2022-12-02,7.0,355/21 (iš viso/šiandien),1000,54.709315,25.293033,355/21,"Nuomojamas jaukus 3 kambarių butas Šiaurės miestelyje!PRIVALUMAI:
- Butas įrengtas aukštos kokybės medžiagomis, ką tik atliktas kosmetinis remontas.
- Labai šiltas butas šalto sezono metu, nedidelės šildymo sąskaitos
- Vonios, koridoriaus bei virtuvės zonose sudėtos šildomos grindys
- Jūsų patogumui - atskiras kambarys drabužinė
- Erdvus balkonas į vidinį kiemą
- Patogi buto vieta - nesunkiai ir greitai pasieksite miesto centrą, aplink visas Šiaurės miestelis su gausybe parduotuvių, pramogų vietų, kavinių.
- Parkavimosi vietos požeminiame parkinge 2 automobiliams.
- Name įrengtas liftas",3 Klasė Gera (1-3),,,https://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-zygio-g-nuomojamas-jaukus-3-kambariu-butas-siaures-4-1187090/,,Virtuvė sujungta su kambariu,"Balkonas, Vieta automobiliui, Drabužinė","Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina","Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna",,'NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Naujoji Vilnia, Genių g., kambario nuoma",,28 m²,300 €,1,5,5,1985,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1187088,2022-10-18,2022-10-21,2022-12-02,11.0,1710/59 (iš viso/šiandien),300,54.687949,25.417982,1710/59,Nuomojamas 1 kambario tvarkingas butas.,,,,https://www.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-geniu-g-nuomojamas-1-kambario-tvarkingas-butas-4-1187088/,,,,,,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Senamiestis, A. Goštauto g., 3 kambarių buto nuoma",12,50 m²,900 €,3,1,2,"1965 statyba, 2018 renovacija",Mūrinis,Dujinis,Įrengtas,www.aruodas.lt/4-1121972,2022-10-18,2022-10-24,2022-12-02,6.0,1011/27 (iš viso/šiandien),900,54.694066,25.265685,1011/27,"NUOMOJAMAS LOFTAS SU SPA PAČIAME VILNIAUS CENTRE, BE TARPININKŲPRIVALUMAI:
- Loftas ką tik įrengtas, yra visi baldai ir buitinė technika ir baldais;
- Lofte įrengta SPA zona su šildomu baseinu ir Himalajų druskos siena;
- Loftas turi atskirą patogų įėjimą, didelį ramų kiemelį, atskirą terasą ir balkoną;
- Lofto išplanavimas yra nestandartinis, per 3 aukštus, yra 2 gyvenamieji aukštai ir SPA zona rūsyje su baseinu ir sanitariniu mazgu;
- Yra butui priskirta parkavimo vieta;
- Namas ką tik baigtas renovuoti, šildomas dujomis, yra dujinis katilas ir rekuperacijos sistema.Nuomos terminas nuo 6 mėn.Loftas nuomojamas tiesiogiai iš savininkų, nėra jokių tarpininkavimo mokesčių, tarpininkų prašome netrukdyti.LOFT FOR RENT WITH SWIMMING POOL IN THE CENTER OF VILNIUSADVANTAGES:
- The loft has just been fully furbished, it has all the furniture and appliances;
- The loft has a separate comfortable entrance, a large quiet courtyard, a private terrace and a balcony;
- Loft layout is non-standard, over 3 floors, there are 2 living floors and a SPA area in the basement with a swimming pool and bathroom;
- There is a parking space assigned to the apartment;
- The house has just been renovated, it is heated by gas, has a gas boiler and a recuperation system.The loft is available for a lease starting from 6 months.The loft is rented directly from the owners, there are no brokerage fees.",,,,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-a-gostauto-g-nuomojamas-loftas-su-spa-paciame-vilniaus-4-1121972/,,"Atskiras įėjimas, Aukštos lubos, Butas per kelis aukštus, Internetas, Galima su gyvūnais","Balkonas, Terasa","Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Židinys",Vaizdo kameros,'NoneType' object has no attribute 'text','NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Fabijoniškės, Fabijoniškių g., 2 kambarių buto nuoma",5,44 m²,650 €,2,3,11,2016,Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1187076,2022-10-18,2022-10-18,2022-12-02,14.0,439/19 (iš viso/šiandien),650,54.720741,25.249978,439/19,"Butas su naujais baldais Jūsų patogumui. Du erdvūs balkonai, suteikiantys galimybę ilsėtis lyg terasoje. Erdvūs langai su vaizdu į didelius medžius. Erdvi svetainė sujungta su virtuve, jaukus miegamasis, vonios kambaryje grindinis šildymas. Nauja lova bei čiužinys suteiks patogų miegą. Tvarkinga laiptinė, visi kaimynai ramūs. Aplink viskas ko reikia po ranka: Iki, Rimi, Senukai, Topo centras, Mc Donalds, Herburger, kirpyklos, darželiai, skverai pasivaikščiojimams.Šalia namo rasite aikšteles automobiliams.",,13.5 µg/m3,20.2 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-fabijoniskese-fabijoniskiu-g-butas-su-naujais-baldais-jusu-patogumui-du-4-1187076/,,Virtuvė sujungta su kambariu,Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Virtuvės komplektas, Viryklė, Indaplovė, Dušo kabina","Šarvuotos durys, Kodinė laiptinės spyna",'NoneType' object has no attribute 'text',,,,,2022_11_02
"Vilnius, Senamiestis, Aguonų g., 2 kambarių buto nuoma",8E,48 m²,970 €,2,4,6,2019,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1172107,2022-08-30,2022-10-18,2022-12-02,13.0,946/12 (iš viso/šiandien),970,54.676859,25.277581,946/12,"Nuomojamas naujas, 2019 statybos, 2 kambarių butas Šaltinių Namų Attico komplekse: privatus įėjimas į uždarą kiemą, liftas, požeminė parkavimo vieta (100EUR/mėn), 2 balkonai. Kompleksas yra ramioje vietoje, bet tuo pačiu metu iki rotušės aikštės tik 6 minutės pėsčiomis. Daug restoranų ir parduotuvių: iki Mindaugo g. Maxima parduotuves 5 min pėsčiomis.
Butas yra pietvakariu pusėje todel visada galesite mėgautis saulės šviesa. Grindinis šildymas su atskiru termoreguliaturium kiekviename kambaryje. Sutaupysite žiemos metu šildymui. Yra rekuperacine sistema gerai ventiliacijai neprarandant šilumos. Bute yra kondicionierius. Šviesolaidinis internetas.
Minimalus nuomos laikotarpis iki 2023 birželio. Galima nuomotis ir ilgiau.
Papildomi mokesčiai: elektra, vanduo, šildymas (ekonomiškas).
Gyvūnų negalima.
",3 Klasė Gera (1-3),,,https://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-aguonu-g-nuomojamas-naujas-2019-statybos-2-kambariu-4-1172107/,A+,"Aukštos lubos, Internetas, Virtuvė sujungta su kambariu","Balkonas, Vieta automobiliui","Kondicionierius, Skalbimo mašina, Su baldais, Šaldytuvas, Šildomos grindys, Viryklė, Indaplovė, Vonia, Rekuperacinė sistema","Šarvuotos durys, Kodinė laiptinės spyna, Vaizdo kameros, Budintis sargas",,'NoneType' object has no attribute 'find_all',,,,2022_11_02
"Vilnius, Antakalnis, Debesijos g., 4 kambarių buto nuoma",8,"80,06 m²",1 000 €,4,1,5,"1984 statyba, 2021 renovacija",Mūrinis,Centrinis,Įrengtas,www.aruodas.lt/4-1187054,2022-10-18,2022-10-18,2022-12-02,2.0,388/13 (iš viso/šiandien),1000,54.701903,25.318031,388/13,"Ilgalaikei, oficaliai nuomai nuomojamas 4 kambarių, tvarkingas butas.Kaina men.1000+ komunaliniai mokesčiai, depozitas už du mėn.Butas šiltas ir ramus. Namas po renavacijos.Langai į kiemo puse, nesigirdi jokio gatvės triukšmo.Netoli miškas ir Sapiegos parkas.Nebrangus, reguliojimasšildymas.Patogi vieta gyvenimui, viskas šalia- senamiestis,parduotuvės, mokyklos, darželiai.",3 Klasė Gera (1-3),14.6 µg/m3,21.3 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-debesijos-g-ilgalaikei-oficaliai-nuomai-nuomojamas-4-4-1187054/,,"Kabelinė televizija, Virtuvė sujungta su kambariu, Galima deklaruoti gyvenamąją vietą",Balkonas,"Skalbimo mašina, Su baldais, Šaldytuvas, Virtuvės komplektas, Viryklė, Indaplovė, Vonia","Šarvuotos durys, Signalizacija, Kodinė laiptinės spyna",,,,,,2022_11_02
"Vilnius, Žvėrynas, Saltoniškių g., 2 kambarių buto nuoma",36,50 m²,680 €,2,3,9,2008,Mūrinis,Centrinis kolektorinis,Įrengtas,www.aruodas.lt/4-1187050,2022-10-18,2022-10-24,2022-12-02,16.0,635/28 (iš viso/šiandien),680,54.697811,25.259596,635/28,"Išnuomojamas butas dirbantiems, be gyvūnų.
Užstatas 1mėn. ir nuoma einamojo mėnesio, jokių tarpininkavimo mokesčių.
Sutartis mažiausiai metams.
Šildymas pigus, reguliuojasi radiatoriai.
Miegamasis su sienine spinta ir svetainė kartu su virtuve, svetainėje kampas su miegama dalimi.
agentų prašome neskambinti.",4 Klasė Vidutinė (4-5),14.6 µg/m3,21.2 µg/m3,https://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-saltoniskiu-g-isnuomojamas-butas-dirbantiems-be-gyvunu-4-1187050/,,,,,,,,,,,2022_11_02
